Country,Year,Population - Both Sexes (Thousand),Food Price Inflation (%),,Total Meat Production (Tonnes),Total Cereal Production (Tonnes),Total Egg Production (Tonnes),Total Pulses Production (Tonnes),Oil Crops Production (Tonnes),Vegetable Crops Production (Tonnes),,Number of people undernourished (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Prevalence of undernourishment (percent),Average dietary energy supply adequacy (percent) ,Enteric Fermentation (Kilotonnes),Crop Residues (Kilotonnes),Manure left on Pasture (Kilotonnes),Temperature Change (°C),Mean Temperature,Rainfall (mm)
Myanmar,2006,50500,10.30582,1284181,171874,32013900,231424,2003435,3687600,958328,4229000,10.5,4.7,19,18.4,104,21987.2675,2258.7264,3538.873,1.188,23.55,2234.03
Myanmar,2007,50829,22.0285,1425205,187120,32625200,256262,2047430,4139400,1021447,4410200,9.2,8.6,16,15.1,107,22910.1855,2289.4717,3627.4858,0.878,23.31,2218.78
Myanmar,2008,51174,34.430383,1568752,206695,33806400,293368,2227990,4651100,1215749,4451300,7.6,12.1,16,13.1,111,23574.0217,2362.8367,3749.5259,0.94,23.23,2037.6
Myanmar,2009,51540,28.531469,1808708,239197,34007161,352764,2237987,4840500,1247071,4589400,6.6,15.9,31,11.4,114,24061.1604,2375.2697,3884.887,0.799,23.75,1878.34
Myanmar,2010,51931,3.918918,1990965,264954,34042752,380655,2309115,5090700,1259604,4719500,5.8,13.8,32,11.2,117,24916.7298,2376.0861,4021.4448,1.115,24.04,2082.6
Myanmar,2011,52351,3.77113,2103315,293916,30636485,414546,2287985,5024606,1131844,4834400,5.8,6.6,64,10.5,117,25388.421,2199.2608,4285.6414,1.339,23.29,2344.57
Myanmar,2012,52797,3.634084,2302679,318478,28341452,440006,2261355,5292846,1073669,4651200,5.4,8.5,57,9.7,118,26885.824,2062.3599,4441.3229,1.28,23.54,1806.7
Myanmar,2013,53259,3.512389,2520138,344532,28622447,479496,2293735,5727802,1145239,4816900,5.1,15.9,48,8.9,119,27763.4239,2089.0017,4642.6489,1.024,23.32,2094.32
Myanmar,2014,52281,6.825728,2792556,369029,28794118,520529,2362313,4373244,1148148,4939144,4.7,15.7,49,8.4,121,28781.981,2101.3431,4905.8979,1.691,23.57,1592.23
Myanmar,2015,52681,7.960892,3001613,401747,28634816,561594,2521469,4528177,1157055,5095662,4.5,12.1,43,8.1,122,30149.3507,2085.9844,5186.2911,0.581,23.52,1946.75
Myanmar,2016,53045,11.586315,3076661,448241,28109553,595367,2465417,4505684,1137219,4845144,4.3,6.6,22,7.8,123,31335.0363,2065.5405,5374.6176,0.727,23.75,2227.96
Myanmar,2017,53383,9.729769,3179212,445963,29010461,614490,2565274,4102694,1052645,4756261,4.2,6.8,14,7.6,123,32393.1539,2128.358,5641.5093,0.624,23.53,2265.4
Myanmar,2018,53708,4.631055,3464663,450951,30021245,631000,2771730,3765932,1018289,4783238,4.1,,15,,123,33875.4245,2193.112,6018.8452,0.702,23.29,2018.12
Myanmar,2019,54045,6.789078,3355294,483211,28682554,635000,2706116,4026334,1040432,4781922,4.3,,19,,,35404.7239,2124.4707,6359.185,0.586,23.84,1847.63
Philippines,2000,77652,,2078811,261772,16901159,296845,10880523,57232,1754782,4937541,14.9,,38,18.7,110,9216.7879,1111.7677,2065.1763,0.671,25.79,2918.13
Philippines,2001,79298,4.865557,2180234,255165,17480299,300613,11330221,57016,1783681,5045429,15,10.2,38,18.4,110,9305.8139,1136.7036,2075.5012,0.716,25.85,2667.03
Philippines,2002,80954,1.709402,2294369,262471,17590069,314463,11771020,56310,1914658,5185590,14.2,7.4,28,17.1,111,9485.075,1137.498,2123.9858,0.754,25.73,2255.94
Philippines,2003,82605,0.480192,2350957,259261,18115690,328857,12036999,55411,1947418,5412557,13.7,5.2,25,16.2,112,9634.9478,1154.1726,2144.8555,0.423,25.61,2599.56
Philippines,2004,84231,3.345281,2354913,258949,19910353,353169,12271881,55857,1957343,5028418,12.9,0.9,19,14.9,114,9814.5385,1238.1664,2177.281,0.578,25.7,2272.52
Philippines,2005,85821,7.630058,2388049,249865,19856348,373554,13012071,55871,2017125,5341645,12.3,1.1,23,14,115,9800.6185,1228.9637,2225.3903,0.925,25.8,2393.55
Philippines,2006,87367,5.585392,2560970,251822,21408902,380315,13328845,55620,2038424,5200638,11.7,0.7,23,13.1,116,9568.3801,1300.5115,2029.4419,0.779,25.86,2343.9
Philippines,2007,88876,4.170905,2748205,288243,22977304,382094,14537178,58798,2033979,5656345,11.4,1.2,30,12.6,117,9655.4564,1374.8603,2030.8795,0.914,25.85,2569.5
Philippines,2008,90371,6.835938,2806004,285979,23744012,393348,15817104,61570,2105427,5746261,11.8,4.1,41,12.8,117,9595.39,1423.4642,2065.8348,0.775,25.52,2939.9
Philippines,2009,91886,11.334552,2845929,288360,23300701,408081,16086282,60362,2161738,5837266,12.6,5.8,31,13.4,116,9617.8068,1413.1995,2081.2569,0.964,25.56,2650.84
Philippines,2010,93444,5.00821,2906248,300005,22149369,424011,16188642,60199,2151646,5960217,13.1,5.3,28,13.7,115,9508.2484,1347.4435,2064.8985,1.422,25.83,2430.87
Philippines,2011,95053,4.847537,2965263,300603,23655648,441112,16249937,66791,2111873,6098582,13.3,4.4,22,13.7,115,9066.4672,1425.1441,1991.4952,1.05,25.63,3128.48
Philippines,2012,96707,3.206562,3077157,294983,25440477,460532,16486774,67615,2190074,6300452,13.7,3.3,41,13.8,115,8826.8863,1510.9414,1950.9952,1.076,25.93,2764.45
Philippines,2013,98394,2.836879,3168815,296876,25817440,468761,16016301,67984,2111276,6323128,13.9,4,42,13.8,115,8750.1865,1530.6435,1936.8289,1.151,25.94,2533.23
Philippines,2014,100513,4.53202,3215917,301468,26739122,457162,16376994,67417,2017908,6429758,13.6,3.9,38,13.3,115,8667.2588,1566.8354,1931.3337,,25.78,2345.38
Philippines,2015,102113,4.524034,3376237,304681,25669247,486954,16628306,64024,2021925,6520185,12.5,4.9,43,12.1,117,8711.3535,1515.7101,1943.3657,,26.02,2249.93
Philippines,2016,103664,0.901713,3380957,275129,24846678,505879,16306791,67285,1904819,6492181,11.4,6.1,34,10.9,120,8785.7265,1472.2214,1958.9926,,26.36,2362.35
Philippines,2017,105173,2.5916,3290408,238716,27191819,537838,16566470,68043,1942130,6631387,10.3,8.3,34,9.7,122,8791.042,1590.2813,1976.7177,,25.91,2928.63
Philippines,2018,106651,4.355401,3317834,203227,26838577,580516,16796494,68702,2035690,6549745,10.1,,33,9.4,123,8808.3476,1574.5368,1963.3387,,26.11,2596.05
Philippines,2019,108117,5.592654,3368247,200643,26794251,632803,16644308,68852,2040475,6622450,10.1,,44,,,8778.0756,1558.0572,1981.6762,,26.18,2286.55
Singapore,2000,,,112645,37,,17200,10,,18,11700,,,,,,0.3397,,4.7649,,27.46,2433
Singapore,2001,,0.545387,115104,39,,17200,9,,16,12800,,3,,,,0.3688,,5.0238,,27.57,2414.4
Singapore,2002,,0.446973,116641,42,,22863,9,,17,14000,,2.5,,,,0.3408,,6.2572,,27.91,1966.9
Singapore,2003,,0.050566,110058,40,,24709,14,,17,16509,,2.5,,,,0.3543,,6.7659,,27.61,2587.6
Singapore,2004,,0.727787,92349,44,,23909,13,,16,17771,,2.4,,,,0.3543,,6.5318,,27.59,2209.4
Singapore,2005,,-1.63604,101317,41,,21811,9,,16,18854,,1.6,,,,0.3753,,6.3531,,27.59,2090.1
Singapore,2006,,3.128768,96353,42,,22455,9,,18,20700,,1.3,,,,0.3671,,6.4088,,27.43,2364.6
Singapore,2007,,1.970289,107604,42,,23605,9,,18,19027,,1.1,,,,0.3537,,6.9951,,27.42,2560.4
Singapore,2008,,6.957105,107294,42,,21465,9,,18,18967,,1.2,,,,0.3576,,6.9034,,27.28,2572.3
Singapore,2009,,7.414379,108500,42,,21191,8,,18,19584,,1.5,,,,0.3618,,7.3215,,27.53,2267.1
Singapore,2010,,-0.48435,112907,45,,21580,8,,17,21926,,1,,,,0.3646,,7.5319,,27.83,2449.3
Singapore,2011,,4.781471,116373,45,,24231,8,,17,22954,,1,,,,0.3635,,7.3686,,27.53,2502
Singapore,2012,,4.567947,116732,50,,25335,8,,20,24055,,0.8,,,,0.3646,,7.6932,,27.62,2347.9
Singapore,2013,,0.334829,118102,50,,27469,8,,21,24455,,0.2,,,,0.3646,,7.6932,,27.77,2506.4
Singapore,2014,,3.568489,114974,38,,27173,7,,17,25419,,0.7,,,,0.3652,,7.6931,,27.78,1939.9
Singapore,2015,,1.611067,103694,36,,26490,2,,12,25790,,0.8,,,,0.338,,7.7589,,27.88,1800.4
Singapore,2016,,1.476651,103288,43,,28334,6,,17,25201,,1.1,,,,0.3386,,8.022,,28.09,2226.4
Singapore,2017,,1.958272,117084,36,,32488,5,,16,25387,,1.5,,,,0.3391,,8.2998,,27.7,2342.9
Singapore,2018,,0.691642,121656,36,,30504,4,,16,26785,,,,,,0.3365,,8.415,,27.74,2342.8
Singapore,2019,,1.332183,122682,35,,32885,5,,16,27056,,,,,,0.3352,,8.5366,,28.12,1682
Thailand,2000,62343,,2044485,201859,30529251,807263,10891828,281865,1113901,3380643,11,,45,17.3,107,9023.235,2236.3555,1872.1593,0.088,26.47,1713.71
Thailand,2001,63069,-0.947848,2094209,149545,33822931,793500,10642908,297342,1274178,3741064,10.5,11.7,41,16.4,108,8803.2381,2384.5201,1857.8508,0.69,26.66,1544.18
Thailand,2002,63798,0.679867,2205079,143184,32806558,842000,10859819,274315,1263100,3791435,9.7,12,40,15,109,9188.4038,2295.0132,1904.9546,0.698,26.75,1597.85
Thailand,2003,64488,0.582426,2350265,145131,34289394,858805,10461873,258000,1454974,3316600,8.9,11.7,38,13.7,110,9638.8141,2395.3501,1977.3116,0.835,26.66,1491.03
Thailand,2004,65087,3.710725,1980974,153142,33405924,698360,10525607,214892,1507193,3624523,7.8,10.4,18,11.9,112,10060.7032,2339.4192,2006.4944,0.571,26.59,1393.27
Thailand,2005,65559,4.542177,2156096,154628,34964181,778665,10907788,192000,1453140,3217951,7,8,18,10.6,113,10553.9018,2421.6487,2012.2485,0.912,26.81,1531.57
Thailand,2006,65884,4.950192,2304493,163351,34133744,837856,11517354,192452,1798996,3040179,6.7,14.5,25,10.2,113,11097.7337,2379.6441,2126.4769,0.709,26.7,1662.18
Thailand,2007,66077,4.526869,2379917,182818,36686812,882987,12620340,193253,1710040,3283077,7.1,15.1,42,10.6,112,11663.7131,2525.2048,2251.2514,0.576,26.58,1618.23
Thailand,2008,66185,4.687762,2305048,173662,36598693,925803,10993621,205000,2302009,3231927,6.9,16,41,10.4,112,11868.5224,2522.0238,2262.3069,0.43,26.24,1661.97
Thailand,2009,66277,10.76833,2283188,178948,37363714,982118,10801195,200077,2045617,3236911,6.7,12.2,40,10,112,11756.6977,2596.0452,2261.2588,0.529,26.64,1592.16
Thailand,2010,66402,3.284212,2396252,201066,40933902,1007500,10395235,207068,2047313,3305586,6.2,12.9,50,9.2,112,11424.5691,2813.3469,2233.2198,1.321,27.27,1579.24
Thailand,2011,66576,3.022814,2408452,187900,43447714,1023000,10951413,213000,2553514,3203827,6,9.5,52,8.8,113,10577.5769,2912.0939,2121.9823,0.95,26.22,1930.47
Thailand,2012,66785,7.703657,2722022,173736,43438509,1082396,11096675,208000,2657679,3135227,5.6,9,31,8.2,113,9901.4125,2907.6389,2014.5608,1.161,27.11,1494.56
Thailand,2013,67011,4.295499,2803776,166215,42040227,1091781,10693755,213256,2885664,2615735,5.3,19,17,7.7,114,9179.0335,2823.6905,1922.1829,0.744,26.75,1699.59
Thailand,2014,68439,3.621353,2926306,161922,37855166,1128688,11541344,210360,2895185,2582243,5,18.9,13,7.3,114,8437.3502,2558.7344,1829.3203,1.269,26.85,1428.48
Thailand,2015,68715,2.335899,2808975,173966,32890605,1100000,10848949,206530,2569216,2647022,5.1,16.9,11,7.5,113,8190.5223,2268.7205,1800.508,1.562,27.25,1370.19
Thailand,2016,68971,0.813943,2788214,173943,36677357,1085000,11315825,210049,2652028,2697461,5.4,19.9,14,7.7,113,8089.2936,2506.104,1780.9643,1.131,27.37,1547.98
Thailand,2017,69210,1.528057,2810347,167736,38175650,1085000,11735786,208980,3297477,2715050,5.5,28.6,13,7.9,114,8067.9772,2572.2317,1778.4019,0.888,26.87,1921.41
Thailand,2018,69428,0.088661,2827291,161037,37867955,1110000,10439486,208519,3546012,2842688,5.7,,13,8.2,115,7971.4286,2553.1186,1766.9573,1.774,26.86,1519.95
Thailand,2019,69626,1.338583,2864676,162905,33610006,1103421,10226251,209182,3733682,2793866,5.7,,13,,,7861.0276,2273.0588,1754.7667,,27.47,1261.91
Timor-Leste,2000,854,,23453,1839,139449,1136,6507,3500,2514,18476,0.4,,125,41.5,92,359.3146,8.6135,66.6249,,24.63,1394.4
Timor-Leste,2001,871,5.160083,24715,1665,122845,1109,7456,4000,2616,19392,0.3,6.5,75,36.5,95,431.3039,9.8061,77.6702,,24.9,1218.37
Timor-Leste,2002,899,4.906884,25901,2281,147370,981,8442,4500,2454,19323,0.3,6.2,66,33.1,98,427.4263,10.7173,78.3535,0.64,25.15,1292.2
Timor-Leste,2003,933,4.67737,25788,1859,135608,748,9851,5460,2470,20992,0.3,4.6,94,32.5,98,405.323,11.0985,76.0144,0.706,25.3,1419.16
Timor-Leste,2004,967,4.685325,25989,1427,117203,827,10978,5874,2579,21754,0.3,5.2,106,32.2,98,384.888,8.4231,74.3441,1.306,24.94,1402.04
Timor-Leste,2005,996,3.75,26693,1437,151106,867,11971,6290,2597,22271,0.3,3.8,91,31.9,98,399.9326,11.5486,79.1441,0.395,25.22,1195.69
Timor-Leste,2006,1018,-1.204819,27721,1468,174394,906,12861,6708,2812,23843,0.3,3.6,57,31.7,98,406.6495,13.2384,80.4261,0.638,24.38,1341.64
Timor-Leste,2007,1036,12.387677,28716,1488,131946,947,13780,7212,2694,25188,0.3,3,10,32.4,97,415.2975,11.0297,82.0113,0.351,24.63,1297.94
Timor-Leste,2008,1050,8.223872,29757,1519,180430,987,15218,7647,2608,26731,0.3,2.9,15,32.5,97,423.0647,13.8575,83.2921,0.785,24.7,1348.15
Timor-Leste,2009,1064,5.699208,30808,1549,255490,1027,15103,8085,3341,28932,0.4,4.8,17,32.5,97,430.5518,16.0163,84.6474,0.989,24.88,1281.5
Timor-Leste,2010,1079,2.446331,31666,1600,261816,1080,14896,8521,1697,27204,0.3,9.8,34,31.1,98,433.0437,15.8786,84.6478,,24.98,1452
Timor-Leste,2011,1096,12.475634,32917,1662,148080,1080,15217,8954,2663,29955,0.4,10.2,34,31,98,447.7918,10.4406,87.5643,0.555,24.51,1624.9
Timor-Leste,2012,1114,16.291161,34204,1712,182005,1022,16584,10000,2324,32969,0.3,10,29,28.7,100,462.6539,12.8898,90.1113,0.645,24.78,1429.21
Timor-Leste,2013,1133,13.90024,31933,1763,188121,1047,16931,10500,2446,31231,0.3,7.8,20,26.8,102,477.4954,11.7139,92.9823,0.83,25.23,1600.7
Timor-Leste,2014,1174,3.630705,30216,1667,191297,1070,17217,10423,2589,31958,0.3,9,18,24.5,104,479.2833,11.7871,93.308,2.019,25.07,1396.8
Timor-Leste,2015,1196,0.3003,35245,1992,213902,1105,17326,10149,2483,32984,0.3,7.1,42,24.1,104,564.3059,12.5787,103.2189,1.309,25.09,1339.89
Timor-Leste,2016,1219,-1.896208,33004,2006,156565,1111,17175,10125,2390,33346,0.3,4.6,50,24,104,586.2766,9.8838,105.0823,0.826,25.64,1304.02
Timor-Leste,2017,1243,0.305188,33486,2016,141105,1110,17250,10522,2387,32763,0.3,5.9,47,23.3,105,527.636,8.9543,94.4999,0.999,25.2,1421.55
Timor-Leste,2018,1268,1.115619,34640,2050,145970,1449,17230,10741,2391,33031,0.3,,46,22.6,106,529.3208,9.0224,93.1112,1.764,25.17,1124.7
Timor-Leste,2019,1293,1.404213,35556,2219,156000,1448,17203,10463,2426,33045,0.3,,32,,,535.5941,10.024,93.3594,0.182,25.22,982.76
Viet Nam,2000,80888,,1992412,186269,34537106,185430,4765983,244600,259647,6290865,15.9,,51,19.7,103,10639.3471,2154.6747,2085.8212,0.728,24.37,1778.95
Viet Nam,2001,81729,-3.634477,2117885,194530,34271811,200500,4821845,255200,269965,6997100,14.7,2.9,53,18,106,10247.9048,2129.5415,2058.0626,0.757,24.57,2005.09
Viet Nam,2002,82548,-0.660764,2298317,201354,36960263,226500,5360498,239737,287803,7002644,13.4,2.7,58,16.3,108,10505.6663,2240.7546,2122.8433,1.127,24.7,1968.1
Viet Nam,2003,83353,5.130327,2479455,204290,37706900,242600,5798775,252000,289222,7204132,13,3.6,24,15.7,109,11058.056,2267.9001,2258.7334,0.482,24.76,1703.34
Viet Nam,2004,84151,3.147352,2923343,220839,39581000,197000,6102500,263442,323563,7376981,13,4,15,15.5,110,11866.3591,2344.9235,2307.0335,0.907,24.47,1701.51
Viet Nam,2005,84948,15.499279,2956329,245363,39621600,197400,6336267,255400,343764,7591996,12.9,4.3,19,15.3,110,12860.7455,2338.7225,2477.6374,0.969,24.67,1883.54
Viet Nam,2006,85748,11.055963,3294125,277616,39705591,198500,6435400,274538,329642,7782882,12.1,2.9,22,14.1,112,14142.6128,2338.7352,2670.8538,0.597,24.79,1821.37
Viet Nam,2007,86553,7.295081,3334939,315795,40247514,223000,6604000,286000,350210,7784037,11.1,1.1,38,12.9,114,14594.678,2351.1998,2787.5929,0.293,24.47,1843.1
Viet Nam,2008,87369,22.011719,3671362,333191,43304799,247000,6824500,298900,362687,7735625,10.3,1.4,40,11.8,116,13882.684,2497.762,2719.0351,0.76,24.04,2020.05
Viet Nam,2009,88200,27.575998,4048296,368944,43323523,273300,7041127,293600,352651,7674504,9.7,1.9,35,11,118,13562.8438,2489.3278,2698.3599,1.176,24.66,1698.5
Viet Nam,2010,89047,7.59076,3986416,384261,44613831,321100,7327162,306287,361964,8120046,8.9,1.9,15,10,120,13137.4433,2551.934,2629.5562,0.818,24.92,1719.59
Viet Nam,2011,89914,16.592049,4119078,386499,47235598,344800,7562119,312935,362110,6889676,8.4,2.7,14,9.3,121,12381.068,2667.8613,2629.0624,0.992,24.01,1891.16
Viet Nam,2012,90796,23.018511,4203692,382438,48712658,365000,8181242,304640,353550,12658055,7.9,2.8,10,8.7,122,11929.201,2729.3539,2518.3127,0.638,24.78,1963.99
Viet Nam,2013,91680,1.338843,4312402,370937,49231389,387700,8285935,302482,364406,13501875,7.8,5.3,12,8.5,123,11808.5965,2761.7277,2454.6792,1.327,24.56,1977.81
Viet Nam,2014,91714,4.492835,4497359,378758,50178378,413555,8390813,301130,360901,14401785,7.5,5.3,9,8.1,124,11912.2257,2789.5211,2491.9754,1.283,24.77,1757.95
Viet Nam,2015,92677,2.108035,4708262,385476,50379410,443715,8470789,313326,372660,14598413,7.3,5.2,10,7.8,125,12201.212,2797.4264,2578.9648,1.213,25.14,1834.01
Viet Nam,2016,93640,0.939087,4951413,395238,48359870,472310,8431660,287104,369722,15192692,6.8,4.1,18,7.2,126,12404.0843,2707.5588,2641.8632,0.905,25.07,1864.5
Viet Nam,2017,94601,2.368756,5097126,409625,47877218,310462,8888761,301885,366819,15717386,6.5,6.7,18,6.8,127,12625.3716,2680.9577,2764.3629,1.864,24.69,1967.96
Viet Nam,2018,95546,-1.130281,5263983,426583,48923674,349443,9535915,318747,367964,16263792,6.5,,14,6.7,127,12735.3407,2707.0045,2828.6476,1.588,24.67,1860.41
Viet Nam,2019,96462,5.324393,4971673,449767,48231532,409994,10305028,307157,377857,16670940,6.5,,22,,,12779.2334,2666.7536,2996.0992,1.588,25.28,1709.43
