Country,Year,Population - Both Sexes (Thousand),Food Price Inflation (%),Total Meat Production (Tonnes),Total Cereal Production (Tonnes),Total Egg Production (Tonnes),Total Pulses Production (Tonnes),Oil Crops Production (Tonnes),Vegetable Crops Production (Tonnes),Number of people undernourished (million),Per capita food production variability (constant 2004-2006 thousand int$ per capita),Per capita food supply variability (kcal/cap/day),Prevalence of undernourishment (percent),Average dietary energy supply adequacy (percent) ,Enteric Fermentation (Kilotonnes),Crop Residues (Kilotonnes),Manure left on Pasture (Kilotonnes),Temperature Change (°C),Mean Temperature,Rainfall (mm)
Cambodia,2000,12223,,68700,4183064,14950,321700,15100,54686,,,77,23.6,101,5144.32,356.2161,819.2307,0.623,27.19,2085.48
Cambodia,2001,12473,14.13006,67000,4284605,14950,322200,17153,53363,2.7,5,53,21.2,103,4882.684,367.6973,780.1178,0.74,27.38,1972.66
Cambodia,2002,12709,-0.92037,62200,3971406,16700,327971,23925,58893,2.5,5.8,65,19.4,104,4955.6101,357.9972,795.1995,0.713,27.48,1891.54
Cambodia,2003,12934,4.403464,63120,5025548,16500,327542,31815,71105,2.4,11.4,65,18.5,105,5094.8048,426.7538,817.7861,0.617,27.4,1828.58
Cambodia,2004,13149,0.595785,64080,4426949,17050,327157,45253,94730,2.3,11.2,49,17,106,5156.2963,394.2392,826.258,0.77,27.38,1754.38
Cambodia,2005,13356,6.963578,67120,6233960,17035,327820,45041,122557,2.1,11.2,34,15.6,107,5396.6753,500.8601,862.1593,0.749,27.54,1795.14
Cambodia,2006,13555,13.672952,70320,6641061,17720,338047,59899,84479,2,11.9,24,14.8,108,5686.5788,521.932,903.6511,0.628,27.52,2084.76
Cambodia,2007,13747,7.481358,71440,7250000,18115,343565,54490,88537,2,15.2,19,14.5,108,5783.943,552.3821,920.9688,0.467,27.35,2303.18
Cambodia,2008,13941,26.162431,72800,7787338,18719,369641,38600,83695,2,14.1,14,13.9,109,5858.0764,576.9203,934.606,0.442,26.95,1824.15
Cambodia,2009,14144,8.869583,75000,8509896,20372,376693,44614,89672,1.9,15.1,17,13.3,109,6008.5001,615.1289,963.3728,1.212,27.34,1920.72
Cambodia,2010,14365,7.836653,72672,9018589,21700,383738,71220,91722,1.8,3.3,22,12.7,110,5820.9689,647.7303,933.3397,0.863,27.9,1795.09
Cambodia,2011,14606,3.61976,72800,9496000,22175,368899,76196,85969,1.8,2.7,25,12,111,5699.6131,680.8959,915.0478,1.014,26.92,2158.9
Cambodia,2012,14865,7.72873,73200,10241849,22500,365538,74677,86476,1.6,11.2,18,10.8,113,5038.4258,714.8166,810.1349,0.623,27.8,1891.12
Cambodia,2013,15135,1.382566,69683,10317000,23000,365725,74167,92373,1.5,11.4,15,9.6,115,5013.904,716.7669,804.3839,1.108,27.39,2167.11
Cambodia,2014,15275,5.656726,64738,9874000,24199,366945,75310,92987,1.4,11,10,8.9,116,4989.18,688.2361,800.1052,1.484,27.51,1912.83
Cambodia,2015,15521,3.580145,63768,9735000,23000,381276,82963,100226,1.3,13.1,24,8.5,116,4981.8271,676.647,801.5057,1.091,27.89,1719.26
Cambodia,2016,15766,4.913073,64032,10615000,22700,371677,77480,112480,1.2,19,27,7.7,118,5007.3588,725.9461,805.6937,0.759,28.06,1804.53
Cambodia,2017,16009,6.525798,63338,11268000,23500,374570,78584,124777,1.1,17.7,27,6.8,119,4949.6016,761.6011,798.8999,1.513,27.55,2103.47
Cambodia,2018,16250,1.520065,62294,12124000,22700,374031,79676,139059,1,,27,6.2,120,4868.6124,800.4059,787.1287,0.285,27.56,1829.03
Cambodia,2019,16487,2.074261,61755,11781000,22720,372417,78580,155697,41.1,,26,,,4827.7039,801.2792,781.5594,0.519,28.09,1771.58
Indonesia,2000,208939,,385795,61575000,783000,8710401,290895,10495321,41.6,9.1,42,19.2,106,21555.7465,3770.8638,5994.7694,0.609,26.04,3008.68
Indonesia,2001,211970,0.841361,382329,59808000,850318,9880012,301997,11517100,41.6,4.9,47,19.1,107,21598.9549,3647.8291,6173.0476,0.602,26.1,2945.36
Indonesia,2002,215038,15.365896,372599,61074973,945950,11761395,289026,12723157,42.5,2.4,40,18.9,108,21982.6917,3682.5243,6724.435,0.544,26.23,2665.02
Indonesia,2003,218146,4.505036,410350,63024042,973590,13716174,336158,14107943,43.5,4.2,33,19.1,108,21085.4897,3758.6946,6532.2913,0.701,26.09,2972.61
Indonesia,2004,221294,1.730125,487810,65313711,1107420,15019329,311362,15856816,43.5,5.2,20,19.2,108,21063.9675,3896.4991,6471.643,0.403,26.11,2703.47
Indonesia,2005,224481,8.17743,396757,66674990,1051540,15261368,322130,19078956,42.9,4.6,9,19,109,20827.5568,3952.6485,6507.2666,0.444,26.13,2816.95
Indonesia,2006,227710,15.210267,439729,66064399,1204417,16639575,317326,20284018,40.9,5.1,12,18.5,110,21427.5081,3912.9021,6698.6559,0.239,26.01,2719.01
Indonesia,2007,230973,11.189447,381236,67878527,1382134,16567650,323704,20064148,36.9,4,13,17.4,112,22335.6617,3970.5459,7070.3687,0.557,26.03,2952.38
Indonesia,2008,234243,11.352031,431543,73984922,1323597,17829546,299302,21391288,31.3,4,13,15.5,113,23226.891,4227.9946,7214.3485,0.759,25.9,3099.96
Indonesia,2009,237487,13.547002,443955,76643740,1307900,18538441,315755,22656772,26.1,5,10,13,116,24086.0167,4358.42,7642.1749,0.411,26.17,2845.17
Indonesia,2010,240676,4.877467,472364,77610636,1366789,15634651,293001,34488784,23.4,2.7,22,10.7,118,25492.4344,4387.2232,7860.6606,0.734,26.27,3373.4
Indonesia,2011,243802,16.180784,520664,75902250,1284044,17130552,342419,37048792,21,3.2,27,9.4,119,26309.4851,4297.6817,8382.6449,0.749,26.07,2984.39
Indonesia,2012,246864,3.28598,545870,79092022,1416167,18978104,285607,39076554,19.6,3.9,32,8.3,121,28432.7593,4411.2856,9013.0485,0.774,26.18,2940.46
Indonesia,2013,249866,6.905036,542655,78606853,1514085,18006377,206070,42092734,18.2,4,34,7.7,123,23776.4324,4386.7259,8651.8714,1.448,26.24,2980.92
Indonesia,2014,255128,11.425329,532907,78067426,1568073,18510201,246028,41910997,17.7,4.3,21,7,125,27025.7391,4365.1129,9303.8968,0.943,26.23,2674.77
Indonesia,2015,258383,8.242085,542071,80643435,1704879,20732093,272938,42685359,16.8,5.6,27,6.8,126,28152.3638,4456.8118,9623.348,0.868,26.31,2552.66
Indonesia,2016,261556,6.595044,550389,77609413,1834514,18050529,254423,44729018,17.2,8.5,21,6.4,127,28596.3038,4540.0328,9773.226,1.021,26.42,3023.09
Indonesia,2017,264651,4.105054,515700,84176015,4995639,19051687,242785,55446153,17.6,,20,6.4,127,29360.7872,4757.6398,12339.8604,0.102,26.22,3105.07
Indonesia,2018,267671,2.946788,523318,89454472,5055586,20043394,184161,56254025,17.6,,25,6.5,126,28795.1478,4831.616,12632.5176,0.786,26.23,2910.73
Indonesia,2019,270626,2.004393,529591,77190033,5107931,20896051,165739,57222972,1.7,,34,,,30211.6232,4589.8722,12950.6355,0.72,26.39,2587.65
Lao People's Democratic Republic,2000,5388,,33000,2318700,10263,198152,14602,8259,1.6,16.3,19,31.2,96,3195.514,164.0261,521.7229,1.06,23.42,1801.88
Lao People's Democratic Republic,2001,5470,16.961014,34400,2446569,11788,209201,16609,8025,1.5,14.9,21,29.5,97,3310.2436,171.1909,541.274,0.491,23.66,2046.59
Lao People's Democratic Republic,2002,5545,6.902522,37550,2540622,12888,333045,16897,7954,1.4,14.5,22,26.9,98,3380.146,174.1225,558.82,0.961,23.71,2087.92
Lao People's Democratic Republic,2003,5619,10.20983,39800,2518278,13099,380673,16990,7975,1.3,6.2,22,24.1,99,3447.346,175.6302,574.7771,0.936,23.71,1576.33
Lao People's Democratic Republic,2004,5699,14.758497,39535,2732500,13206,387524,16135,7881,1.2,6,24,22.4,100,3524.956,185.3,589.9406,0.656,23.47,1712.46
Lao People's Democratic Republic,2005,5791,10.132502,40584,2940560,13324,400276,17900,13602,1.2,6.7,18,20.6,101,3473.96,190.9002,584.0761,0.338,23.85,1866.12
Lao People's Democratic Republic,2006,5896,11.018673,41282,3113650,14006,416690,17785,14372,1.1,9.6,25,20.1,100,3566.108,198.808,600.2269,0.699,23.8,1876.83
Lao People's Democratic Republic,2007,6013,10.982071,42230,3398240,13706,501908,16870,16477,1.1,6.3,21,18.3,101,3644.312,209.0085,614.2389,1.405,23.51,1816.67
Lao People's Democratic Republic,2008,6139,6.46239,43530,4077685,14806,458800,18085,15689,1,8.7,20,17.7,102,3757.1156,242.4906,631.9945,0.998,23.12,2072.55
Lao People's Democratic Republic,2009,6268,8.580576,44250,4279186,15106,512956,19315,18288,1,8.3,36,16,103,3851.764,253.7916,652.977,1.189,23.75,1625.27
Lao People's Democratic Republic,2010,6396,2.873333,45220,4091515,15396,501369,18395,21957,0.9,7.2,36,15.9,103,3935.484,249.5836,670.4973,0.758,24.27,1717.65
Lao People's Democratic Republic,2011,6521,9.693658,46480,4161995,15896,583576,17323,30339,0.8,6.1,31,14.5,105,4040.974,248.6876,694.6036,1.413,23.03,2131.94
Lao People's Democratic Republic,2012,6646,9.097007,48970,4614695,16396,680906,14844,21508,0.6,2.8,29,12.2,108,4233.8519,277.0119,728.4721,1.44,24.11,1826.99
Lao People's Democratic Republic,2013,6770,9.161226,49370,4628645,16896,766350,11970,24573,0.5,3.3,35,9,112,4274.116,274.0408,739.1435,1.192,23.72,2008.58
Lao People's Democratic Republic,2014,6640,11.485855,49491,5414865,17400,896604,10772,27847,0.4,11,36,6.7,116,4294.2732,312.2762,744.8027,0.894,23.87,1513.09
Lao People's Democratic Republic,2015,6741,4.533914,51288,5618250,16450,1218603,9771,29760,0.4,17.1,65,5.9,117,4406.0012,321.2591,767.7207,2.124,24.29,1506.68
Lao People's Democratic Republic,2016,6846,4.366091,52634,5701160,16650,1254685,8230,30333,0.4,17.5,85,5.6,118,4566.5368,325.425,793.3126,1.645,24.25,1841.43
Lao People's Democratic Republic,2017,6953,3.461236,54112,5232304,15400,1312534,7145,23809,0.4,,86,5.4,119,4674.4904,303.3821,813.832,0.405,23.77,2018.56
Lao People's Democratic Republic,2018,7062,-0.4905,55365,4566380,16126,1412007,7300,23820,1.6,,62,5.3,119,4769.5402,266.0222,834.3045,0.638,23.76,1804.08
Lao People's Democratic Republic,2019,7169,0.833877,57193,4328125,17072,1180527,8182,19487,0.6,,37,2.5,,4850.6607,243.9786,850.7345,0.765,24.5,1418.13
Malaysia,2000,23421,,17501,2205800,400513,1333937,,12451313,0.7,15.8,23,2.8,124,1344.9609,155.7074,470.3332,0.771,25.66,3404.24
Malaysia,2001,23926,0.595829,19319,2161995,407990,1353459,,12960915,0.7,13.2,41,2.9,123,1373.5219,151.4201,517.8389,0.692,25.76,3086.91
Malaysia,2002,24414,0.29615,22190,2267351,422281,1376054,,13091869,0.8,9.9,48,3.1,122,1307.7322,156.0767,546.8737,0.891,25.94,2769.93
Malaysia,2003,24891,1.181102,23966,2329000,432050,1440510,,14649072,0.8,7.2,60,3.2,122,1356.089,157.8779,582.4387,0.628,25.74,3250.4
Malaysia,2004,25365,1.167315,26658,2336000,441999,1399052,,15331935,0.9,8.6,57,3.4,122,1406.2985,159.0217,604.5252,0.686,25.69,2907.98
Malaysia,2005,25843,3.173077,29396,2389000,453000,1322137,,16396220,1,10,29,3.6,121,1403.0012,160.694,579.8953,0.571,25.73,2946.93
Malaysia,2006,26327,4.259635,31885,2267000,464000,1201157,,17390982,1,11.5,22,3.6,121,1400.0303,152.8267,594.1542,0.785,25.64,3240.83
Malaysia,2007,26814,3.11284,34976,2407075,487000,1059525,,17310472,1,6,19,3.5,121,1491.3156,160.7875,629.0587,0.985,25.57,3378.51
Malaysia,2008,27302,3.867925,38250,2385959,490400,1187802,,19215770,0.9,10,20,3.2,121,1511.7682,158.3243,648.4866,0.787,25.38,3720.94
Malaysia,2009,27790,9.809264,42178,2547439,523900,1177812,,18759673,0.8,8.6,22,3,122,1519.0671,166.5027,665.5493,1.001,25.68,3497.76
Malaysia,2010,28276,1.240695,46510,2512432,600901,1202850,,18203279,0.8,11.3,25,2.8,123,1489.2221,165.4216,692.6374,1.028,25.8,3281.77
Malaysia,2011,28759,3.636364,48835,2635830,637023,1180404,,20344716,0.9,12.5,35,3.2,123,1388.4481,171.2416,706.5496,1.218,25.58,3540.22
Malaysia,2012,29240,4.775828,51277,2682983,659777,1167125,,20789424,1,11.2,44,3.4,122,1350.7777,172.7696,734.6111,1.661,25.77,3343.6
Malaysia,2013,29717,2.232558,51715,2690153,698625,1080315,,20790469,1.1,9.1,53,3.8,121,1361.0755,171.8034,774.564,1.185,25.87,3222.1
Malaysia,2014,29867,4.185623,52901,1894019,742965,1180240,,20888679,1.1,9.7,39,3.5,119,1348.7044,134.829,782.005,1.184,25.78,2936.18
Malaysia,2015,30271,2.79476,50494,2803864,794975,1328908,,21523024,1.1,10.6,42,3.4,120,1336.0214,177.3012,802.5795,1.446,26.01,2783.16
Malaysia,2016,30685,3.908241,47956,2804473,836415,1294614,,18908713,1,11.1,44,3.2,120,1305.5504,178.0246,806.4727,0.11,26.3,2963.33
Malaysia,2017,31105,4.006541,46333,2643074,860861,1289631,,22263580,1,,51,3.2,120,1253.1137,171.3323,806.2453,0.563,25.85,3418.04
Malaysia,2018,31528,3.459119,46924,2708109,820394,1172750,,21538392,1,,46,37.6,120,1204.4416,175.2933,733.4232,0.647,25.89,3354.01
Malaysia,2019,31950,0.987842,44025,2413368,670089,1161408,,21684424,1,,19,,,1216.0108,183.9215,766.4577,0.644,26.17,2717.01
Myanmar,2000,48453,,91244,21785100,122069,1510780,1848459,515277,17.7,,38,34.8,90,19381.2759,1615.0618,3020.8314,0.587,23.06,2055.01
Myanmar,2001,48894,-0.750263,95466,22513600,115757,1613450,2230000,536340,16.6,8.4,36,32.4,92,19852.0753,1661.904,3112.1261,0.906,23.47,2060.17
Myanmar,2002,49261,24.32419,101862,22499700,130011,1680370,2517100,600971,15.6,6,34,30.2,94,20387.1667,1669.1553,3214.0231,0.773,23.4,2204.12
Myanmar,2003,49577,64.073035,113393,23945800,149487,1750325,2686500,659171,14.7,6.2,17,27.8,96,20726.6993,1752.1912,3262.9489,0.456,23.34,1894.28
Myanmar,2004,49875,32.448943,134341,25649700,174487,1691840,2827300,733720,13.6,4.3,11,24.8,98,21123.5916,1851.1035,3344.0364,0.463,23.19,2015.71
Myanmar,2005,50181,1.830134,151444,28735200,206639,1836180,3233400,780975,12.2,5.9,15,21.2,100,21501.4624,2045.9373,3429.6462,0.898,23.63,1896
